iter	Passed	Remaining
0	29	2924
1	35	1737
2	39	1265
3	43	1040
4	49	938
5	53	841
6	58	779
7	64	746
8	68	696
9	73	661
10	83	671
11	88	647
12	93	625
13	99	608
14	103	586
15	107	566
16	112	549
17	116	531
18	121	518
19	131	525
20	135	511
21	146	518
22	154	518
23	165	523
24	169	509
25	173	494
26	179	486
27	184	473
28	188	460
29	194	452
30	198	441
31	203	431
32	210	426
33	215	417
34	220	408
35	225	401
36	229	391
37	234	381
38	238	373
39	243	365
40	247	356
41	251	346
42	256	340
43	261	332
44	265	324
45	269	316
46	274	309
47	278	302
48	282	294
49	287	287
50	292	280
51	295	273
52	300	266
53	305	259
54	309	253
55	314	247
56	319	241
57	324	234
58	329	228
59	334	222
60	342	218
61	348	213
62	355	208
63	360	202
64	364	196
65	371	191
66	379	187
67	385	181
68	389	174
69	392	168
70	397	162
71	402	156
72	406	150
73	410	144
74	415	138
75	421	133
76	426	127
77	435	122
78	439	116
79	444	111
80	449	105
81	453	99
82	457	93
83	461	87
84	467	82
85	471	76
86	476	71
87	482	65
88	487	60
89	493	54
90	501	49
91	508	44
92	514	38
93	518	33
94	521	27
95	525	21
96	530	16
97	534	10
98	538	5
99	541	0
